business_id,name,category_id,category,address,latitude,longitude,tel,rating
bea32830a3fd488ed322317e,Kafeutvikling,13065,Restaurant,"Fyrstikkalléen 7, 0661 Oslo",59.913415,10.795437,63 80 07 00,
b260569601b54991eb821cf3,Helsfyr Matservice,13065,Restaurant,"Karoline Kristiansens vei 2, 0661 Oslo",59.913753,10.796964,22 68 09 81,
4d1d2e0affca437d7e1b0f5c,Express Mat AS - Pizza & Kina Expressen Helsfyr,13145,Fast Food Restaurant,"Karoline Kristiansens vei 2, 0661 Oslo",59.913809,10.797131,22 22 22 22,
07ecccb1b0534ef9e74a1f20,Fresh Sushi & Wok V/ Pham,13072,Asian Restaurant,"Gladengveien 15 B, 0661 Oslo",59.917158,10.792246,910 03 697,
b7318a0c3c9f4feb4e9e3656,Mazhar Servering,13145,Fast Food Restaurant,"Gladengveien 15b, 0661 Oslo",59.917197,10.792182,,
4e53c7e122711d4da5c011c8,Japo Sushi Sognsvann,13276,Sushi Restaurant,"Sognsveien 70, 0855 Oslo",59.948035,10.731588,,7.0
4be1941d594bc928c9eeabbb,Dolly Dimple's,13064,Pizzeria,"Ullevaal Stadion (Sognsveien 73), 0854 Oslo",59.948107,10.732512,,
5cd1b4a90e3239002cb6e7d3,Domino's Pizza Ullevaal,13064,Pizzeria,0855,59.948383,10.733231,,
4c0691ed8a81c9b64ce92590,Burger King,13032,"Cafe, Coffee, and Tea House","Sognsveien 75A, 0855 Oslo",59.948607,10.732729,22 18 48 31,5.2
52f28957498ebf05707ee65e,Tåsen grill & pizza,13031,Burger Joint,,59.948718,10.744818,,
55be4cfc498ed9ea41197961,Pizzabakeren,13064,Pizzeria,"Tåsenveien 26, 0853 Oslo",59.94398,10.74758,22 18 18 20,
55b674ff498e5794439b7ab7,Peppes Pizza,13064,Pizzeria,"Tåsenveien 31, 0870 Oslo",59.944665,10.749055,22 22 55 55,
2b6c3e47b1bf4918828ec5ef,Justwokit,13145,Fast Food Restaurant,"Trondheimsveien 139, 0570 Oslo",59.947814,10.731563,,
e7abbb387b1c43ac216201a4,Dolly Dimple's Ullevål Stadion,13064,Pizzeria,"Sognsveien 75 A, 0855 Oslo",59.948568,10.732794,04440,
c3e7d51f9bef4bd52a37f2af,Fyr Bistronomi & Bar,13032,"Cafe, Coffee, and Tea House","Sognsveien 75 A, 0855 Oslo",59.948577,10.732909,459 16 392,
