name,latitude,longitude,free bikes
Torggata,59.91598309274519,10.75155119076095,20
Brynseng T-bane,59.90918420865812,10.81431433498766,18
Idioten,59.931020132184614,10.736036647971048,0
Sofienbergparken nordvest,59.9243639,10.7615858,29
Majorstua skole,59.9294351,10.7136816,6
Torshovdalen øst,59.93285662158759,10.777633472422016,0
Kampen park Øst,59.915182,10.782129,10
Fred Olsens gate,59.9110506,10.7493737,5
Sogn Studentby,59.95208441268443,10.727852791011173,6
Munkegata,59.908255,10.7678,23
Aker Brygge 2 mot Rådhusplassen,59.91111544486938,10.730396895054923,5
Dronningens gate,59.911392299457006,10.747281829592453,14
Aker Brygge 3 mot Fergene,59.91087115068967,10.729828757277915,6
Blindern T-Bane,59.94025210701875,10.716723884520064,1
Bankplassen,59.908454,10.741869,28
Frogner Tennisklubb,59.9261831,10.7098327,0
Brugata,59.91366109486603,10.75729364846211,10
Volvat,59.9330870371029,10.703967938028702,11
Tåsenløkka,59.9433939,10.7482848,1
Arkitekt Rivertz Plass,59.934936,10.749466,16
Elgsletta,59.91564920880896,10.761724502548105,29
Sofienbergparken nord,59.923229,10.766171,28
Enerhaugen,59.91320242563816,10.767579386407874,12
Karenslyst allé,59.92033,10.683814,13
Bislett Stadion,59.925471317049954,10.73121932213806,3
Majorstuen,59.929045,10.716926,2
Sjøsiden 1 ved trappen,59.91014291324254,10.752003700187942,23
Københavngata busstopp,59.9294565845173,10.769121495700826,8
Hoff terrasse holdeplass,59.92732814272898,10.675499599893328,24
Hoffsveien,59.923898,10.6760339,4
St. Hanshaugen park nord,59.92979845370007,10.743540765932096,0
St. Hanshaugen park sør,59.924821,10.739909,1
Holbergs plass,59.9193095,10.7343051,3
Bjølsen mølle,59.9392403070359,10.768771317790996,0
Hasle,59.924342,10.79285,21
Ensjøveien,59.91662195885618,10.783309055819714,0
Ila,59.931828,10.748745,2
